created_at,updated_at,deleted,id,parent_id,title,title_ar,location_type_id,latlng,admin_level_id,description,postal_code,country_id,tags,full_location,id_tree
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,1,,Kyiv,,1,POINT(30.5233 50.45),,,,,,"Kyiv, Kyiv, Misto",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,2,,Kharkiv,,1,POINT(36.2311 49.9925),,,,,,"Kharkiv, Kharkivska Oblast",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,3,,Odesa,,1,POINT(30.7326 46.4775),,,,,,"Odesa, Odeska Oblast",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,4,,Dnipro,,1,POINT(35.04 48.4675),,,,,,"Dnipro, Dnipropetrovska Oblast",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,5,,Donetsk,,1,POINT(37.8053 48.0028),,,,,,"Donetsk, Donetska Oblast",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,6,,Zaporizhzhia,,1,POINT(35.1175 47.85),,,,,,"Zaporizhzhia, Zaporizka Oblast",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,7,,Lviv,,1,POINT(24.0322 49.8425),,,,,,"Lviv, Lvivska Oblast",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,8,,Kryvyi Rih,,1,POINT(33.3433 47.9086),,,,,,"Kryvyi Rih, Dnipropetrovska Oblast",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,9,,Sevastopol,,1,POINT(33.5225 44.605),,,,,,"Sevastopol, Sevastopol, Misto",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,10,,Mykolaiv,,1,POINT(31.995 46.975),,,,,,"Mykolaiv, Mykolaivska Oblast",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,11,,Mariupol,,1,POINT(37.5494 47.0958),,,,,,"Mariupol, Donetska Oblast",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,12,,Luhansk,,1,POINT(39.3333 48.5667),,,,,,"Luhansk, Luhanska Oblast",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,13,,Vinnytsia,,1,POINT(28.4833 49.2333),,,,,,"Vinnytsia, Vinnytska Oblast",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,14,,Makiivka,,1,POINT(37.9611 48.0556),,,,,,"Makiivka, Donetska Oblast",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,15,,Simferopol,,1,POINT(34.1 44.9484),,,,,,"Simferopol, Krym, Avtonomna Respublika",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,16,,Poltava,,1,POINT(34.5514 49.5894),,,,,,"Poltava, Poltavska Oblast",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,17,,Chernihiv,,1,POINT(31.2947 51.4939),,,,,,"Chernihiv, Chernihivska Oblast",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,18,,Kherson,,1,POINT(32.625 46.6425),,,,,,"Kherson, Khersonska Oblast",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,19,,Cherkasy,,1,POINT(32.0597 49.4444),,,,,,"Cherkasy, Cherkaska Oblast",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,20,,Khmelnytskyi,,1,POINT(27 49.4167),,,,,,"Khmelnytskyi, Khmelnytska Oblast",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,21,,Chernivtsi,,1,POINT(25.9333 48.3),,,,,,"Chernivtsi, Chernivetska Oblast",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,22,,Sumy,,1,POINT(34.75 50.9167),,,,,,"Sumy, Sumska Oblast",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,23,,Zhytomyr,,1,POINT(28.6667 50.25),,,,,,"Zhytomyr, Zhytomyrska Oblast",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,24,,Horlivka,,1,POINT(38.0925 48.3336),,,,,,"Horlivka, Donetska Oblast",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,25,,Rivne,,1,POINT(26.2519 50.6192),,,,,,"Rivne, Rivnenska Oblast",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,26,,Ivano-Frankivsk,,1,POINT(24.7106 48.9228),,,,,,"Ivano-Frankivsk, Ivano-Frankivska Oblast",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,27,,Kamianske,,1,POINT(34.6167 48.5167),,,,,,"Kamianske, Dnipropetrovska Oblast",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,28,,Kropyvnytskyi,,1,POINT(32.2667 48.5),,,,,,"Kropyvnytskyi, Kirovohradska Oblast",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,29,,Ternopil,,1,POINT(25.6 49.5667),,,,,,"Ternopil, Ternopilska Oblast",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,30,,Kremenchuk,,1,POINT(33.4039 49.0631),,,,,,"Kremenchuk, Poltavska Oblast",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,31,,Lutsk,,1,POINT(25.3358 50.75),,,,,,"Lutsk, Volynska Oblast",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,32,,Bila Tserkva,,1,POINT(30.1167 49.7956),,,,,,"Bila Tserkva, Kyivska Oblast",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,33,,Kramatorsk,,1,POINT(37.5839 48.7392),,,,,,"Kramatorsk, Donetska Oblast",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,34,,Melitopol,,1,POINT(35.3675 46.8489),,,,,,"Melitopol, Zaporizka Oblast",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,35,,Sievierodonetsk,,1,POINT(38.4933 48.9481),,,,,,"Sievierodonetsk, Luhanska Oblast",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,36,,Kerch,,1,POINT(36.4711 45.3619),,,,,,"Kerch, Krym, Avtonomna Respublika",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,37,,Drohobych,,1,POINT(23.5 49.35),,,,,,"Drohobych, Lvivska Oblast",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,38,,Khrustalnyi,,1,POINT(38.9453 48.1214),,,,,,"Khrustalnyi, Luhanska Oblast",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,39,,Uzhhorod,,1,POINT(22.295 48.6239),,,,,,"Uzhhorod, Zakarpatska Oblast",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,40,,Berdiansk,,1,POINT(36.7889 46.7556),,,,,,"Berdiansk, Zaporizka Oblast",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,41,,Sloviansk,,1,POINT(37.6059 48.8533),,,,,,"Sloviansk, Donetska Oblast",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,42,,Nikopol,,1,POINT(34.4 47.5667),,,,,,"Nikopol, Dnipropetrovska Oblast",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,43,,Brovary,,1,POINT(30.79 50.5111),,,,,,"Brovary, Kyivska Oblast",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,44,,Yevpatoriia,,1,POINT(33.3681 45.1939),,,,,,"Yevpatoriia, Krym, Avtonomna Respublika",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,45,,Pavlohrad,,1,POINT(35.87 48.52),,,,,,"Pavlohrad, Dnipropetrovska Oblast",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,46,,Alchevsk,,1,POINT(38.7978 48.4778),,,,,,"Alchevsk, Luhanska Oblast",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,47,,Konotop,,1,POINT(33.2027 51.2369),,,,,,"Konotop, Sumska Oblast",
2023-11-07 22:18:28.791477,2023-11-07 22:18:28.791477,,48,,Kamianets-Podilskyi,,1,POINT(26.5806 48.6806),,,,,,"Kamianets-Podilskyi, Khmelnytska Oblast",
