id,title,title_tr,created_at,updated_at,deleted
1,Photo,,2024-05-22 22:18:28.791477,2024-05-22 22:18:28.791477,f
2,Video,,2024-05-22 22:18:28.791477,2024-05-22 22:18:28.791477,f
3,Text,,2024-05-22 22:18:28.791477,2024-05-22 22:18:28.791477,f
4,Other,,2024-05-22 22:18:28.791477,2024-05-22 22:18:28.791477,f
